Date;JPM
03/10/2013;45.460712
04/10/2013;46.099644
07/10/2013;45.364437
08/10/2013;44.524185
09/10/2013;44.419155
10/10/2013;45.968357
11/10/2013;45.959599
14/10/2013;46.134651
15/10/2013;45.78455
16/10/2013;47.263737
17/10/2013;47.447544
18/10/2013;47.526306
21/10/2013;47.50005
22/10/2013;46.931133
23/10/2013;46.169666
24/10/2013;45.933346
25/10/2013;46.187172
28/10/2013;46.108398
29/10/2013;46.152168
30/10/2013;46.03838
31/10/2013;45.110611
01/11/2013;45.959599
04/11/2013;45.548229
05/11/2013;45.469471
06/11/2013;45.600754
07/11/2013;45.20689
08/11/2013;47.228729
11/11/2013;47.351269
12/11/2013;47.237484
13/11/2013;47.386269
14/11/2013;47.613842
15/11/2013;48.025204
18/11/2013;48.786682
19/11/2013;49.145531
20/11/2013;49.101768
21/11/2013;50.082062
22/11/2013;50.29211
25/11/2013;50.458405
26/11/2013;50.038288
27/11/2013;50.30962
29/11/2013;50.082062
02/12/2013;49.87199
03/12/2013;49.766956
04/12/2013;50.055794
05/12/2013;48.856693
06/12/2013;49.066757
09/12/2013;49.460617
10/12/2013;49.62693
11/12/2013;49.0755
12/12/2013;49.285572
13/12/2013;49.163033
16/12/2013;49.381851
17/12/2013;48.76918
18/12/2013;50.099564
19/12/2013;50.090805
20/12/2013;50.502178
23/12/2013;50.974815
24/12/2013;50.983559
26/12/2013;50.939796
27/12/2013;50.887291
30/12/2013;50.720974
31/12/2013;51.184872
02/01/2014;51.281784
03/01/2014;51.678219
06/01/2014;51.977753
07/01/2014;51.378685
08/01/2014;51.863224
09/01/2014;51.766315
10/01/2014;51.52845
13/01/2014;50.832485
14/01/2014;50.867722
15/01/2014;52.409439
16/01/2014;51.968945
17/01/2014;51.193684
21/01/2014;51.246544
22/01/2014;50.735573
23/01/2014;49.748875
24/01/2014;48.533131
27/01/2014;48.533131
28/01/2014;49.105759
29/01/2014;48.92075
30/01/2014;49.334812
31/01/2014;48.770992
03/02/2014;47.84597
04/02/2014;48.409794
05/02/2014;48.638847
06/02/2014;49.757694
07/02/2014;49.881023
10/02/2014;49.986748
11/02/2014;50.594616
12/02/2014;50.673904
13/02/2014;51.123207
14/02/2014;51.228931
18/02/2014;51.52845
19/02/2014;50.444843
20/02/2014;50.726765
21/02/2014;50.753189
24/02/2014;51.123207
25/02/2014;50.242222
26/02/2014;49.995556
27/02/2014;49.942688
28/02/2014;50.05722
03/03/2014;49.519829
04/03/2014;50.444843
05/03/2014;51.237724
06/03/2014;51.88966
07/03/2014;52.330147
10/03/2014;52.15395
11/03/2014;51.26416
12/03/2014;51.026295
13/03/2014;50.585808
14/03/2014;50.039597
17/03/2014;50.726765
18/03/2014;51.149635
19/03/2014;51.361069
20/03/2014;52.955643
21/03/2014;53.008503
24/03/2014;53.80138
25/03/2014;53.67804
26/03/2014;52.770638
27/03/2014;52.78825
28/03/2014;52.893967
31/03/2014;53.484234
01/04/2014;53.448997
02/04/2014;53.617424
03/04/2014;53.777
04/04/2014;53.023449
07/04/2014;52.305367
08/04/2014;52.172379
09/04/2014;52.544731
10/04/2014;50.886913
11/04/2014;49.025192
14/04/2014;48.723774
15/04/2014;48.581924
16/04/2014;48.989731
17/04/2014;48.954273
21/04/2014;48.785835
22/04/2014;49.477322
23/04/2014;49.690098
24/04/2014;49.814205
25/04/2014;49.379814
28/04/2014;49.193638
29/04/2014;49.734421
30/04/2014;49.628029
01/05/2014;49.397545
02/05/2014;49.27343
05/05/2014;48.067738
06/05/2014;47.287605
07/05/2014;47.91703
08/05/2014;48.191856
09/05/2014;47.881565
12/05/2014;48.448959
13/05/2014;48.422359
14/05/2014;48.191856
15/05/2014;47.438309
16/05/2014;47.261002
19/05/2014;47.721996
20/05/2014;47.624481
21/05/2014;47.97908
22/05/2014;48.360302
23/05/2014;48.342567
27/05/2014;48.883354
28/05/2014;49.158173
29/05/2014;49.397545
30/05/2014;49.264561
02/06/2014;49.069527
03/06/2014;49.291161
04/06/2014;49.362076
05/06/2014;50.204277
06/06/2014;50.505707
09/06/2014;50.904648
10/06/2014;51.330173
11/06/2014;50.77166
12/06/2014;50.56776
13/06/2014;50.56776
16/06/2014;50.417042
17/06/2014;50.904648
18/06/2014;51.223789
19/06/2014;50.798256
20/06/2014;51.01989
23/06/2014;51.587276
24/06/2014;50.904648
25/06/2014;51.002167
26/06/2014;50.878048
27/06/2014;51.002167
30/06/2014;51.081947
01/07/2014;51.394398
02/07/2014;50.858768
03/07/2014;50.93018
07/07/2014;50.590946
08/07/2014;49.778564
09/07/2014;50.010677
10/07/2014;49.600021
11/07/2014;49.814278
14/07/2014;50.251705
15/07/2014;52.019318
16/07/2014;52.412121
17/07/2014;51.653294
18/07/2014;51.983601
21/07/2014;51.992531
22/07/2014;52.376415
23/07/2014;52.671009
24/07/2014;52.822773
25/07/2014;52.679935
28/07/2014;52.840618
29/07/2014;52.349628
30/07/2014;52.590656
31/07/2014;51.483681
01/08/2014;50.421329
04/08/2014;50.573097
05/08/2014;50.046379
06/08/2014;50.198147
07/08/2014;49.912476
08/08/2014;50.296345
11/08/2014;50.278488
12/08/2014;50.305275
13/08/2014;50.635582
14/08/2014;50.867695
15/08/2014;50.662365
18/08/2014;51.090885
19/08/2014;51.385475
20/08/2014;51.456898
21/08/2014;52.224648
22/08/2014;52.215717
25/08/2014;52.974533
26/08/2014;53.331627
27/08/2014;53.197708
28/08/2014;52.813839
29/08/2014;53.072735
02/09/2014;53.269135
03/09/2014;53.295918
04/09/2014;53.30484
05/09/2014;53.483387
08/09/2014;53.465534
09/09/2014;52.724564
10/09/2014;52.867401
11/09/2014;53.349476
12/09/2014;53.590508
15/09/2014;53.510174
16/09/2014;53.554813
17/09/2014;53.840481
18/09/2014;54.742138
19/09/2014;54.554672
22/09/2014;54.376122
23/09/2014;54.402905
24/09/2014;55.018883
25/09/2014;53.697643
26/09/2014;54.06366
29/09/2014;53.858341
30/09/2014;53.777981
01/10/2014;53.358406
02/10/2014;52.882072
03/10/2014;54.194241
06/10/2014;54.086388
07/10/2014;53.268539
08/10/2014;54.284111
09/10/2014;53.097778
10/10/2014;52.594479
13/10/2014;52.270927
14/10/2014;52.118145
15/10/2014;49.90723
16/10/2014;49.502796
17/10/2014;50.509388
20/10/2014;50.895847
21/10/2014;52.064213
22/10/2014;51.63282
23/10/2014;52.181061
24/10/2014;52.792202
27/10/2014;52.702332
28/10/2014;53.592079
29/10/2014;53.286514
30/10/2014;53.376389
31/10/2014;54.35601
03/11/2014;54.715515
04/11/2014;54.1493
05/11/2014;54.958176
06/11/2014;55.030071
07/11/2014;55.245766
10/11/2014;55.659191
11/11/2014;55.155895
12/11/2014;54.42791
13/11/2014;54.131332
14/11/2014;54.17627
17/11/2014;54.266136
18/11/2014;54.400948
19/11/2014;54.463863
20/11/2014;54.032467
21/11/2014;54.329052
24/11/2014;54.787415
25/11/2014;54.194241
26/11/2014;54.230186
28/11/2014;54.068413
01/12/2014;53.924622
02/12/2014;54.895264
03/12/2014;55.308689
04/12/2014;55.164875
05/12/2014;56.351223
08/12/2014;56.324268
09/12/2014;56.12653
10/12/2014;54.535751
11/12/2014;54.949184
12/12/2014;53.960567
15/12/2014;53.16967
16/12/2014;52.513584
17/12/2014;53.717907
18/12/2014;55.254753
19/12/2014;55.659191
22/12/2014;55.668182
23/12/2014;56.153507
24/12/2014;56.153507
26/12/2014;56.216423
29/12/2014;56.5849
30/12/2014;56.755665
31/12/2014;56.243382
02/01/2015;56.523785
05/01/2015;54.769005
06/01/2015;53.348892
07/01/2015;53.430305
08/01/2015;54.624275
09/01/2015;53.674526
12/01/2015;53.213219
13/01/2015;53.222256
14/01/2015;51.386078
15/01/2015;49.739841
16/01/2015;50.590096
20/01/2015;50.391094
21/01/2015;50.553913
22/01/2015;52.09161
23/01/2015;51.268482
26/01/2015;51.349899
27/01/2015;50.834316
28/01/2015;49.522747
29/01/2015;50.354919
30/01/2015;49.18808
02/02/2015;50.174023
03/02/2015;51.304665
04/02/2015;50.997124
05/02/2015;51.349899
06/02/2015;52.362976
09/02/2015;52.299641
10/02/2015;52.878548
11/02/2015;52.797127
12/02/2015;53.882561
13/02/2015;53.973019
17/02/2015;54.361965
18/02/2015;53.701656
19/02/2015;53.575031
20/02/2015;54.090607
23/02/2015;53.683563
24/02/2015;55.013218
25/02/2015;55.30267
26/02/2015;55.700657
27/02/2015;55.429298
02/03/2015;55.87252
03/03/2015;56.053429
04/03/2015;56.198143
05/03/2015;56.080559
06/03/2015;55.076538
09/03/2015;55.628304
10/03/2015;54.235336
11/03/2015;54.488594
12/03/2015;55.510708
13/03/2015;55.176037
16/03/2015;55.944881
17/03/2015;55.727802
18/03/2015;55.854431
19/03/2015;55.356941
20/03/2015;55.854431
23/03/2015;55.30267
24/03/2015;54.687588
25/03/2015;53.918755
26/03/2015;53.855431
27/03/2015;53.864475
30/03/2015;55.139854
31/03/2015;54.796131
01/04/2015;54.586704
02/04/2015;55.105721
06/04/2015;55.060192
07/04/2015;55.406197
08/04/2015;55.588299
09/04/2015;55.970734
10/04/2015;56.180157
13/04/2015;56.51704
14/04/2015;57.400272
15/04/2015;58.465595
16/04/2015;58.101391
17/04/2015;57.218163
20/04/2015;57.582375
21/04/2015;56.735577
22/04/2015;57.309219
23/04/2015;57.18174
24/04/2015;56.999634
27/04/2015;56.762897
28/04/2015;57.145317
29/04/2015;57.910175
30/04/2015;57.600582
01/05/2015;57.919285
04/05/2015;58.929981
05/05/2015;58.638603
06/05/2015;58.201542
07/05/2015;58.729652
08/05/2015;59.631081
11/05/2015;59.594662
12/05/2015;59.512711
13/05/2015;59.658394
14/05/2015;60.140987
15/05/2015;59.986195
18/05/2015;60.477886
19/05/2015;61.015106
20/05/2015;60.53252
21/05/2015;60.687317
22/05/2015;60.523422
26/05/2015;59.849617
27/05/2015;60.523422
28/05/2015;60.277565
29/05/2015;59.895138
01/06/2015;60.168312
02/06/2015;60.113663
03/06/2015;60.732849
04/06/2015;60.395935
05/06/2015;61.38842
08/06/2015;60.905838
09/06/2015;61.169899
10/06/2015;62.153267
11/06/2015;62.390003
12/06/2015;62.144169
15/06/2015;61.907429
16/06/2015;62.253437
17/06/2015;62.043999
18/06/2015;62.626743
19/06/2015;61.989376
22/06/2015;62.790657
23/06/2015;63.509979
24/06/2015;62.845284
25/06/2015;62.508381
26/06/2015;62.781548
29/06/2015;61.188103
30/06/2015;61.698006
01/07/2015;62.385361
